"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"91",75.949997,76.360001,75.300003,75.669998,3162200,20.62756,2018-05-11,"AABA",-0.00303031504005413,-0.00303035565137399
"92",75.75,77.620003,75.75,76.739998,5002100,20.919241,2018-05-14,"AABA",0.0141403539730343,0.0141403466139909
"93",75.919998,76.459999,75.400002,76.440002,1960700,20.837461,2018-05-15,"AABA",-0.00390931965457053,-0.00390925212169013
"94",76.349998,77.43,76.349998,77.019997,2300800,20.995567,2018-05-16,"AABA",0.00758758468702103,0.0075875848354896
"95",76.769997,77.339996,76.370003,76.5,1956400,20.853817,2018-05-17,"AABA",-0.00675142519370886,-0.006751454430724
"96",76.440002,77.059998,75.860001,75.93,4265200,20.698437,2018-05-18,"AABA",-0.00745091414200105,-0.00745098039215675
"97",76.690002,77.550003,76.540001,77.019997,5223900,20.995567,2018-05-21,"AABA",0.0143551902010766,0.0143552877650468
"98",77.300003,77.32,76.389999,76.510002,1837700,20.856544,2018-05-22,"AABA",-0.00662154063283937,-0.00662159205225632
"99",75.839996,76.720001,75.440002,76.449997,7052800,20.840187,2018-05-23,"AABA",-0.000784262244022726,-0.000784276544653628
"100",76.839996,77.489998,76.400002,77.169998,4018400,21.036459,2018-05-24,"AABA",0.00941795771794185,0.00941793365930432
"101",77.050003,78.25,76.889999,77.43,1432100,21.107334,2018-05-25,"AABA",0.00336915067312415,0.00336921092054454
"102",76.959999,78.290001,76.449997,76.800003,1714300,20.935598,2018-05-29,"AABA",-0.00813631887380961,-0.00813634250290585
"103",77.18,77.540001,76.599998,77.029999,3239400,20.998295,2018-05-30,"AABA",0.00299475563105478,0.00299473946635143
"104",76.860001,77.489998,76.699997,77.160004,3231600,21.033733,2018-05-31,"AABA",0.0016876608315104,0.00168771909240184
"105",77.580002,80,77.580002,78.980003,4520000,21.529863,2018-06-01,"AABA",0.023587348950374,0.0235873367761879
"106",79.25,80.510002,79.25,80.239998,3263300,21.873337,2018-06-04,"AABA",0.0159533760154442,0.0159533420124078
"107",80.32,81.25,79.720001,80.349998,3134100,21.903322,2018-06-05,"AABA",0.00137084707285395,0.00137088737215563
"108",80.75,81.110001,79.989998,80.279999,3161000,21.884241,2018-06-06,"AABA",-0.000871146395053701,-0.000871176126227113
"109",81.040001,81.989998,78.660004,79.75,14318300,21.739763,2018-06-07,"AABA",-0.00660191961877954,-0.00660188099902692
"110",78.830002,80.879997,78.57,80.550003,8087000,21.957844,2018-06-08,"AABA",0.0100314341053305,0.0100313855799374
"111",80.699997,81.449997,80.5,80.690002,14316700,21.996008,2018-06-11,"AABA",0.00173805770730495,0.00173803842068132
"112",81.110001,82.199997,81.110001,81.620003,14168400,22.249525,2018-06-12,"AABA",0.0115255913709433,0.0115256038784084
"113",81.769997,81.989998,80.629997,80.830002,12558600,22.034172,2018-06-13,"AABA",-0.00967899314704457,-0.00967901214117828
"114",81.07,82.449997,81.050003,82.360001,8387500,22.451248,2018-06-14,"AABA",0.0189285987238368,0.0189286027730149
"115",81.050003,82.139999,80.629997,81.459999,11167900,22.205908,2018-06-15,"AABA",-0.0109276776061624,-0.0109276589251134
"116",80.720001,81.669998,79.919998,81.610001,9638500,22.246798,2018-06-18,"AABA",0.00184140184675163,0.0018414191240046
"117",79.779999,80.290001,78.199997,80.169998,11067600,21.854256,2018-06-19,"AABA",-0.0176448763547904,-0.0176449330027577
"118",80.5,81.389999,80.199997,81.110001,15068000,22.110498,2018-06-20,"AABA",0.0117250388208137,0.011725121909071
"119",80.639999,80.93,79.139999,79.620003,11232400,21.704327,2018-06-21,"AABA",-0.0183700520901882,-0.0183700897747492
"120",79.940002,80.169998,78.870003,79.459999,8648000,21.660709,2018-06-22,"AABA",-0.00200964535781267,-0.00200959550328073
"121",78.230003,78.25,74.410004,75.459999,11493000,20.570314,2018-06-25,"AABA",-0.0503397649633722,-0.0503397942403699
"122",75.910004,76.260002,74.449997,75.5,12841000,20.581219,2018-06-26,"AABA",0.000530132889561274,0.000530095421814147
"123",76.040001,76.220001,73.110001,73.129997,13213400,19.935158,2018-06-27,"AABA",-0.031390803431031,-0.0313907682119204
"124",72.699997,74.610001,71.980003,74.410004,11596900,20.284086,2018-06-28,"AABA",0.0175031469527354,0.0175031731506838
"125",73.339996,74.519997,72.839996,73.209999,17791000,19.956966,2018-06-29,"AABA",-0.0161269282727354,-0.0161269309970741
"126",71.610001,73.5,71.540001,73.410004,27379900,20.011488,2018-07-02,"AABA",0.00273197839791872,0.00273193556524975
"127",74,74.18,72.519997,72.790001,9138000,19.842476,2018-07-03,"AABA",-0.00844574876191106,-0.0084457562486987
"128",73.300003,73.489998,71.809998,73.349998,14246600,19.995131,2018-07-05,"AABA",0.00769334431852142,0.0076933231529972
"129",73.309998,75.550003,72.870003,75.360001,11720000,20.543055,2018-07-06,"AABA",0.0274028712290006,0.0274029046326627
"130",76,76.339996,74.910004,75.610001,9081900,20.611204,2018-07-09,"AABA",0.00331737416854505,0.00331740972243355
"131",76.400002,76.919998,75.599998,75.970001,9801800,20.709341,2018-07-10,"AABA",0.00476134242327619,0.00476127490065759
"132",74.779999,74.860001,73.699997,73.760002,9658800,20.106897,2018-07-11,"AABA",-0.0290904476390629,-0.0290904168870552
"133",74.849998,75.57,74.519997,74.610001,11993200,20.338606,2018-07-12,"AABA",0.0115238567144398,0.0115238473014141
"134",74.949997,75.25,74.139999,74.480003,8488100,20.303169,2018-07-13,"AABA",-0.00174235146695889,-0.00174236695158336
"135",74.309998,74.889999,74.080002,74.660004,9835200,20.352236,2018-07-16,"AABA",0.00241671632640217,0.00241676950523217
"136",73.980003,75.550003,73.620003,75.360001,8570700,20.543055,2018-07-17,"AABA",0.00937582484794297,0.00937579644383613
"137",75.440002,75.57,74.470001,74.660004,11081300,20.352236,2018-07-18,"AABA",-0.00928873529277885,-0.00928870741389709
"138",74.139999,74.290001,73.139999,73.360001,8135200,19.997858,2018-07-19,"AABA",-0.0174122391269441,-0.0174123082018587
"139",73.599998,74.07,73.029999,73.269997,7184900,19.973322,2018-07-20,"AABA",-0.00122693140435348,-0.00122688111740887
"140",73.099998,73.449997,72.309998,73.150002,6876900,19.940611,2018-07-23,"AABA",-0.0016377345741484,-0.00163770990737178
"141",74.160004,75.660004,73.910004,74.150002,12963300,20.213211,2018-07-24,"AABA",0.0136705941457862,0.013670539612562
"142",74.290001,77.720001,74.290001,77.529999,9101400,21.134594,2018-07-25,"AABA",0.0455832079326732,0.0455832354529135
"143",76.150002,76.790001,75.529999,76.190002,10315800,20.769312,2018-07-26,"AABA",-0.0172836062050684,-0.0172835936706255
"144",76.889999,77,73.209999,74.099998,15501800,20.199579,2018-07-27,"AABA",-0.0274314816013164,-0.0274314732266316
"145",74.330002,74.580002,71.32,72.389999,19783700,19.733437,2018-07-30,"AABA",-0.0230768175910994,-0.023076910204505
"146",73.139999,74.099998,72.160004,73.449997,18425200,20.02239,2018-07-31,"AABA",0.0146428115892838,0.0146428790529476
"147",73.199997,74.589996,72.669998,73.18,22297600,19.94879,2018-08-01,"AABA",-0.00367588484691406,-0.00367592935367977
"148",71.800003,72.220001,71.029999,72.089996,26038900,19.651655,2018-08-02,"AABA",-0.0148948883616499,-0.0148948346542772
"149",72.739998,72.75,71.309998,71.580002,25891000,19.51263,2018-08-03,"AABA",-0.0070744677738338,-0.00707440738379295
"150",71.379997,71.510002,70.32,70.889999,35841700,19.324537,2018-08-06,"AABA",-0.00963955140849804,-0.00963960576586731
"151",71.459999,72.449997,71.239998,71.5,11515300,19.490824,2018-08-07,"AABA",0.00860496683568668,0.00860489502898698
"152",71.75,71.75,70.459999,70.989998,22469400,19.351797,2018-08-08,"AABA",-0.00713294625204142,-0.00713289510489512
"153",70.82,71.449997,70.309998,70.489998,37448000,19.215498,2018-08-09,"AABA",-0.00704322187753426,-0.00704324572596837
"154",69.839996,71.440002,69.769997,70.970001,25773200,19.346346,2018-08-10,"AABA",0.00680950345393083,0.00680951927392592
"155",71.139999,71.199997,70.080002,70.199997,12438800,19.136444,2018-08-13,"AABA",-0.0108496974053912,-0.0108497109926771
"156",69.889999,69.889999,67.830002,68.150002,15583800,18.577618,2018-08-14,"AABA",-0.0292021861532895,-0.0292022092251656
"157",66.18,67.110001,65.779999,67.040001,9798500,18.275032,2018-08-15,"AABA",-0.0162876640051487,-0.016287615075932
"158",67.940002,69.449997,67.93,68.139999,9290100,18.57489,2018-08-16,"AABA",0.0164080697642555,0.0164080844807863
"159",67.870003,68.940002,67.040001,68.169998,13238100,18.583069,2018-08-17,"AABA",0.00044032562238594,0.000440255363079789
"160",68.839996,70.269997,68.620003,69.260002,11537300,18.880201,2018-08-20,"AABA",0.0159893933558553,0.0159894973152264
"161",69.669998,70.690002,69.610001,70.25,4675000,19.150074,2018-08-21,"AABA",0.0142939685864574,0.0142939354809721
"162",70.290001,70.699997,69.43,70.32,7280900,19.169157,2018-08-22,"AABA",0.000996497454787804,0.000996441281138738
"163",72.510002,73.150002,68.139999,68.220001,27034500,18.596699,2018-08-23,"AABA",-0.029863493736318,-0.0298634670079636
"164",69.080002,69.599998,68.169998,68.900002,4898900,18.782066,2018-08-24,"AABA",0.00996773674725815,0.00996776590489934
"165",69.68,70.889999,69.529999,70.839996,3550100,19.310907,2018-08-27,"AABA",0.0281567001202103,0.0281566610114177
"166",71.279999,71.449997,69.949997,70.300003,3095400,19.163706,2018-08-28,"AABA",-0.00762268701309576,-0.00762271358682731
"167",70.32,70.610001,69.870003,70.43,2642500,19.199142,2018-08-29,"AABA",0.00184912041543517,0.00184917488552605
"168",70.019997,70.290001,69.089996,69.330002,8258400,18.899284,2018-08-30,"AABA",-0.0156183021095421,-0.0156183160584979
"169",68.900002,69.93,68.730003,69.550003,5783400,18.959255,2018-08-31,"AABA",0.0031731889948845,0.00317324381441697
"170",69.120003,69.139999,67.660004,67.959999,5813100,18.525822,2018-09-04,"AABA",-0.0228612885896623,-0.0228613074251055
"171",66.360001,67.160004,65.019997,65.650002,6985400,17.89612,2018-09-05,"AABA",-0.033990502553679,-0.0339905390522445
"172",65.589996,66.360001,63.939999,64.209999,6633000,17.503576,2018-09-06,"AABA",-0.0219345869383979,-0.0219345461710725
"173",64.029999,65.629997,64.029999,64.82,3899900,17.669863,2018-09-07,"AABA",0.00950017299322159,0.0095000935913423
"174",63.5,64.440002,63.080002,63.799999,14090100,17.391811,2018-09-10,"AABA",-0.015735945434325,-0.0157358994137611
"175",62.880001,64.910004,62.799999,64.290001,10305300,17.525385,2018-09-11,"AABA",0.00768028125420628,0.00768028225204209
"176",64.589996,66.970001,64.370003,66.519997,17460500,18.13328,2018-09-12,"AABA",0.0346865418363134,0.0346865136928525
"177",67.739998,68.529999,67.440002,67.980003,10852700,18.531275,2018-09-13,"AABA",0.0219483182303479,0.0219483774179965
"178",68.470001,68.699997,67.330002,67.75,5012200,18.468576,2018-09-14,"AABA",-0.00338341533434705,-0.0033833920248576
"179",67.160004,67.209999,65.639999,65.900002,8991800,17.96427,2018-09-17,"AABA",-0.0273061658895629,-0.0273062435424354
"180",65.32,66.080002,64.529999,64.980003,9300900,17.713478,2018-09-18,"AABA",-0.0139606006812412,-0.0139605306840507
"181",65.43,67.300003,65.43,67.089996,8697300,18.28866,2018-09-19,"AABA",0.0324714322054653,0.0324714204768504
"182",68.449997,68.839996,67.919998,68.349998,6840100,18.632135,2018-09-20,"AABA",0.0187807635988642,0.018780773216919
"183",69.110001,69.360001,67.739998,67.93,6310600,18.517645,2018-09-21,"AABA",-0.00614476011471576,-0.00614481363993591
"184",67.120003,67.639999,66.519997,67.589996,5357500,18.424961,2018-09-24,"AABA",-0.00500517209396778,-0.00500521124687192
"185",67.620003,68.449997,67.510002,67.860001,13072500,18.498564,2018-09-25,"AABA",0.00399474386947141,0.00399474798015964
"186",68.169998,68.970001,67.940002,68.129997,9222800,18.572165,2018-09-26,"AABA",0.00397874126878173,0.00397872083733097
"187",68.43,68.730003,68.050003,68.480003,7421300,18.667576,2018-09-27,"AABA",0.00513731167044895,0.00513732592708016
"188",67.93,68.459999,67.459999,68.120003,5577900,18.569439,2018-09-28,"AABA",-0.00525708319066176,-0.00525700911549321
"189",68.540001,68.699997,67.120003,67.239998,10598200,18.329552,2018-10-01,"AABA",-0.0129183762632786,-0.0129184521615479
"190",66.459999,66.839996,66.019997,66.629997,11254700,18.163265,2018-10-02,"AABA",-0.00907207115591258,-0.00907199610565124
"191",67.510002,68.029999,67.129997,67.25,4483800,18.332277,2018-10-03,"AABA",0.00930515521300834,0.0093051632585246
"192",66.809998,66.809998,64.389999,65.260002,7018700,17.789806,2018-10-04,"AABA",-0.029591032254204,-0.0295910483271375
"193",65.150002,65.510002,63.77,64.580002,8205700,17.604439,2018-10-05,"AABA",-0.0104198438139235,-0.0104198587061031
"194",63.23,63.82,62.439999,63.09,10861000,17.198267,2018-10-08,"AABA",-0.0230721353858534,-0.0230721888178324
"195",62.110001,62.860001,61.439999,61.52,15858400,16.770287,2018-10-09,"AABA",-0.0248850654545602,-0.0248850847994928
"196",60.119999,60.490002,58.200001,58.41,16612500,15.922503,2018-10-10,"AABA",-0.0505527424784084,-0.05055266579974
"197",57.610001,60.119999,57.610001,59.93,10857300,16.336853,2018-10-11,"AABA",0.0260229186328305,0.0260229412771786
"198",62.02,62.220001,60.900002,61.98,7631500,16.895681,2018-10-12,"AABA",0.0342065880130034,0.0342065743367261
"199",61.34,61.5,60.07,60.93,10262500,16.609453,2018-10-15,"AABA",-0.0169408974991894,-0.0169409486931268
"200",61.630001,62.91,61.23,62.830002,7263500,17.12739,2018-10-16,"AABA",0.0311832665410474,0.031183357951748
"201",63.040001,63.360001,61.610001,62.189999,5968600,16.952927,2018-10-17,"AABA",-0.0101861988312287,-0.0101862641990684
"202",61.25,61.560001,59.740002,60.060001,6181000,16.372292,2018-10-18,"AABA",-0.0342498378008704,-0.0342498477930511
"203",60.950001,61.720001,60.330002,60.389999,4430500,16.462248,2018-10-19,"AABA",0.0054944048151595,0.00549447210298926
"204",62.080002,62.790001,61.310001,62.200001,5862000,16.955652,2018-10-22,"AABA",0.0299718483162204,0.029971883258352
"205",60.349998,61.720001,59.950001,61.349998,6212200,16.723944,2018-10-23,"AABA",-0.0136655317058879,-0.0136656428671119
"206",61.080002,61.540001,58.869999,59.07,6500100,16.102419,2018-10-24,"AABA",-0.0371637814620761,-0.0371637827926253
"207",59.700001,60.950001,59.580002,60.740002,4896500,16.557659,2018-10-25,"AABA",0.0282715286442365,0.0282715760961569
"208",58.830002,61.060001,58.560001,60.169998,5491900,16.402277,2018-10-26,"AABA",-0.00938429762323278,-0.00938432632912978
"209",60.560001,60.77,56.099998,56.830002,8411200,15.491797,2018-10-29,"AABA",-0.0555093661690996,-0.055509325428264
"210",55.810001,57.93,55.759998,57.919998,7192100,15.788929,2018-10-30,"AABA",0.0191799569798132,0.0191799394974506
"211",59.040001,60.110001,58.939999,60.099998,6158800,16.383194,2018-10-31,"AABA",0.0376380817216924,0.0376381228466203
"212",60.84,63.34,58.93,62.860001,8856700,17.135569,2018-11-01,"AABA",0.0459235848638551,0.0459235123435444
"213",63.82,64.120003,61.360001,61.73,6845400,16.827532,2018-11-02,"AABA",-0.017976467545373,-0.0179764712380454
"214",61.43,62.209999,60.68,60.869999,3734600,16.593096,2018-11-05,"AABA",-0.0139316924193044,-0.0139316539769966
"215",60.93,62.580002,60.93,61.93,5377000,16.882051,2018-11-06,"AABA",0.0174141703272253,0.0174141780419612
"216",62.77,63.66,62.459999,63.599998,5663500,17.337292,2018-11-07,"AABA",0.0269659770604886,0.0269658969804618
"217",63.18,63.330002,61.630001,62.48,4846000,17.031981,2018-11-08,"AABA",-0.0176100742838041,-0.0176100320003155
